"","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","FamilySize","LR_predicted","y_tree1","y_RF","y_RF_2"
"892","3","male",34.5,0,0,7.8292,"Q","Mr","Single",0,"0","0","0"
"893","3","female",47,1,0,7,"S","Mrs","Small",1,"0","0","0"
"894","2","male",62,0,0,9.6875,"Q","Mr","Single",0,"0","0","0"
"895","3","male",27,0,0,8.6625,"S","Mr","Single",0,"0","0","0"
"896","3","female",22,1,1,12.2875,"S","Mrs","Small",1,"0","1","0"
"897","3","male",14,0,0,9.225,"S","Mr","Single",0,"0","0","0"
"898","3","female",30,0,0,7.6292,"Q","Miss","Single",1,"1","0","0"
"899","2","male",26,1,1,29,"S","Mr","Small",0,"0","0","0"
"900","3","female",18,0,0,7.2292,"C","Mrs","Single",1,"1","1","1"
"901","3","male",21,2,0,24.15,"S","Mr","Small",0,"0","0","0"
"902","3","male",29,0,0,7.8958,"S","Mr","Single",0,"0","0","0"
"903","1","male",46,0,0,26,"S","Mr","Single",0,"0","0","0"
"904","1","female",23,1,0,82.2667,"S","Mrs","Small",1,"1","1","1"
"905","2","male",63,1,0,26,"S","Mr","Small",0,"0","0","0"
"906","1","female",47,1,0,61.175,"S","Mrs","Small",1,"1","1","1"
"907","2","female",24,1,0,27.7208,"C","Mrs","Small",1,"1","1","1"
"908","2","male",35,0,0,12.35,"Q","Mr","Single",0,"0","0","0"
"909","3","male",21,0,0,7.225,"C","Mr","Single",0,"0","0","0"
"910","3","female",27,1,0,7.925,"S","Miss","Small",1,"0","0","0"
"911","3","female",45,0,0,7.225,"C","Mrs","Single",1,"0","0","0"
"912","1","male",55,1,0,59.4,"C","Mr","Small",0,"0","0","1"
"913","3","male",9,0,1,3.1708,"S","Master","Small",1,"1","1","1"
"914","1","female",35.5,0,0,31.6833,"S","Mrs","Single",1,"1","1","1"
"915","1","male",21,0,1,61.3792,"C","Mr","Small",0,"1","1","1"
"916","1","female",48,1,3,262.375,"C","Mrs","Small",1,"1","1","1"
"917","3","male",50,1,0,14.5,"S","Mr","Small",0,"0","0","0"
"918","1","female",22,0,1,61.9792,"C","Miss","Small",1,"1","1","1"
"919","3","male",22.5,0,0,7.225,"C","Mr","Single",0,"0","1","0"
"920","1","male",41,0,0,30.5,"S","Mr","Single",0,"0","1","0"
"921","3","male",29,2,0,21.6792,"C","Mr","Small",0,"0","0","0"
"922","2","male",50,1,0,26,"S","Mr","Small",0,"0","0","0"
"923","2","male",24,2,0,31.5,"S","Mr","Small",0,"0","0","0"
"924","3","female",33,1,2,20.575,"S","Mrs","Small",1,"1","0","0"
"925","3","female",35.5,1,2,23.45,"S","Mrs","Small",1,"0","0","0"
"926","1","male",30,1,0,57.75,"C","Mr","Small",0,"1","1","1"
"927","3","male",18.5,0,0,7.2292,"C","Mr","Single",0,"0","0","0"
"928","3","female",22,0,0,8.05,"S","Miss","Single",1,"0","0","0"
"929","3","female",21,0,0,8.6625,"S","Miss","Single",1,"0","0","0"
"930","3","male",25,0,0,9.5,"S","Mr","Single",0,"0","0","0"
"931","3","male",29,0,0,56.4958,"S","Mr","Single",0,"1","1","1"
"932","3","male",39,0,1,13.4167,"C","Mr","Small",0,"0","0","0"
"933","1","male",29,0,0,26.55,"S","Mr","Single",0,"1","1","1"
"934","3","male",41,0,0,7.85,"S","Mr","Single",0,"0","0","0"
"935","2","female",30,0,0,13,"S","Mrs","Single",1,"1","1","1"
"936","1","female",45,1,0,52.5542,"S","Mrs","Small",1,"1","1","1"
"937","3","male",25,0,0,7.925,"S","Mr","Single",0,"0","0","0"
"938","1","male",45,0,0,29.7,"C","Mr","Single",0,"0","0","0"
"939","3","male",29,0,0,7.75,"Q","Mr","Single",0,"0","0","0"
"940","1","female",60,0,0,76.2917,"C","Mrs","Single",1,"1","1","1"
"941","3","female",36,0,2,15.9,"S","Mrs","Small",1,"1","1","1"
"942","1","male",24,1,0,60,"S","Mr","Small",0,"1","1","1"
"943","2","male",27,0,0,15.0333,"C","Mr","Single",0,"0","0","0"
"944","2","female",20,2,1,23,"S","Miss","Small",1,"1","1","1"
"945","1","female",28,3,2,263,"S","Miss","Large",1,"1","1","1"
"946","2","male",29,0,0,15.5792,"C","Mr","Single",0,"0","0","0"
