crab.id,body.size,right.claw,left.claw
12,4.85,1.9,5.05
30,5.8,2.06,5.3
39,6,2.1,5.29
34,6.15,2.25,6.41
42,6.3,7.74,2.54
4,6.35,6.83,2.3
31,6.55,2.55,7.98
16,6.65,2.34,6.27
36,6.7,2.5,8.15
47,6.7,2.29,6.87
10,6.8,8.51,2.45
48,6.8,2.31,7.28
37,6.85,8.66,2.56
6,6.9,2.45,7.37
11,6.95,8.28,2.53
46,6.95,8.15,2.32
38,7.1,2.38,8.83
18,7.2,8.06,2.81
24,7.25,3.2,8.39
45,7.3,2.44,8.38
20,7.35,2.74,8.7
21,7.35,8,3
40,7.35,2.44,9.62
43,7.35,8.69,2.58
50,7.4,8.15,2.65
41,7.45,8.96,2.76
35,7.5,9.82,2.87
26,7.6,7.81,2.97
14,7.65,8.82,2.69
15,7.65,10.26,2.88
44,8,11.11,2.69
25,8.1,2.92,6.62
28,8.1,3.23,10.22
7,8.3,9.98,2.93
13,8.35,2.93,11.37
17,8.35,12.02,3.36
29,8.85,3.14,10.31
32,8.9,10.77,3.34
22,9,10.61,3.25
23,9,12.32,3.29
49,9.35,11.62,3.44
5,9.45,3.38,13.17
3,9.55,14.6,3.57
33,9.75,12.67,3.48
27,10.15,14.04,3.75
2,10.25,3.92,13.03
9,10.45,3.76,14.06
19,10.55,14.68,3.87
1,11,14.75,3.96
8,11.3,16.47,4.13
